"Source:","/home/matthieu/miam_workspace/src/MiAM_robotics/eurobot2023/Electronics/main_pcb/main_pcb.kicad_sch"
"Date:","Sat 07 Jan 2023 01:36:13 PM CET"
"Tool:","Eeschema 6.0.10-1.fc36"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","55"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Field5","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS","RS Part Number","RS part number"
"","","J18","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J20","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J21","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J24","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","P1","R-78Bxx-2.0","MiAM:R-78Bxx-2.0","MiAM:CONV_R-78Bxx-2.0","","","","","RS  139-2959","","","","","","139-2959","",""
"","","P2","Amazon 10A stepdown","MiAM:Amazon 10A stepdown","MiAM:StepDown10A","https://www.amazon.fr/dalimentation-Convertisseur-Abaisseur-6-5V-60V-1-25-30V/dp/B07TLHM71W/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=TAPY62YN7AE7&keywords=regulateur+tension+ajustable+10A&qid=1662732280&sprefix=regulateur+tension+ajustable+10a%2Caps%2C58&sr=8-5","","","","","","","","","","","",""
"","","Q1","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"","","Q2","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"","","Q3","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"","","Q4","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"","","Q5","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"","","Q6","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"","","R1","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","",""
"","","R2","R","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"","","R3","R","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"","","R4","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","",""
"","","R5","5k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"","","R6","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","",""
"","","R7","5k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"","","R8","120","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"","","R9","200k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"","","U1","MCP2515-xSO","Interface_CAN_LIN:MCP2515-xSO","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf","","","","","","","","","","","",""
"","","U2","TJA1049T","Interface_CAN_LIN:TJA1049T","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.nxp.com/documents/data_sheet/TJA1049.pdf","","","","","","","","","","    219-4670","",""
"","","U3","PCA9306D","Interface:PCA9306D","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/PCA9306.pdf","","","","","","","","","","    662-7415","",""
"","","U4","Pololu_MAX14870","MiAM:Pololu_MAX14870","MiAM:PololuMAX14870","","","","","","","","","","","","",""
"","","U5","PCA9685PW","Driver_LED:PCA9685PW","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","http://www.nxp.com/documents/data_sheet/PCA9685.pdf","","","","","","","","","","727-5649","",""
"","","U6","Pololu_MAX14870","MiAM:Pololu_MAX14870","MiAM:PololuMAX14870","","","","","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Field5","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS","RS Part Number","RS part number"
"1","2","C1, C2","C","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P10.00mm","~","","","","","","","","","","    736-8833","",""
"2","1","C3","Conn_03x08","MiAM:Conn_03x08","MiAM:Pin_Header_Straight_3x08_Pitch2.54mm","","","","","","","","","","","","",""
"3","1","C4","Conn_03x04","MiAM:Conn_03x04","MiAM:Pin_Header_Straight_3x04_Pitch2.54mm","","","","","","","","","","","","",""
"4","2","D2, D3","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","","","","",""
"5","1","HC49","Crystal","Device:Crystal","Crystal:Crystal_HC49-4H_Vertical","~","","","","","","","","","","    693-8819","",""
"6","2","I2C1, I2C2","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","",""
"7","1","IC1","CD74HCT125M96","MiAM:CD74HCT125M96","SOIC127P600X175-14N","http://www.ti.com/lit/gpn/cd74hct125","","","","","","","CD74HCT125M96","","","",""," 662-7235"
"8","1","IC2","SN74LVC126ADR","MiAM:SN74LVC126ADR","SOIC127P600X175-14N","http://www.ti.com/lit/gpn/sn74lvc126a","SN74LVC126ADR","https://www.arrow.com/en/products/sn74lvc126adr/texas-instruments","Texas Instruments SN74LVC126ADR Quad Buffer & Line Driver, 3-State, 1.65-3.6V, 14-Pin SOIC","","1.75","Texas Instruments","SN74LVC126ADR","595-SN74LVC126ADR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC126ADR?qs=rshUhwi3fbY38Lw6k%252BScBw%3D%3D","","    662-8601",""
"9","1","J1","PI40HAT","MiAM:PI40HAT","MiAM:MODULE_RASPBERRY_PI_B+","","","","","","","","","","","","",""
"10","5","J2, J3, J4, J5, J6","Conn_01x02_Male","Connector:Conn_01x02_Male","MiAM:XT30UM","~","","","","","","","","","","","",""
"11","4","J7, J8, J10, J15","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"12","1","J9","22-03-5035","MiAM:22-03-5035","SHDR3W60P0X250_1X3_990X490X590P","http://www.molex.com/pdm_docs/sd/022035035_sd.pdf","","","Header 2.5mm SPOX,WTB,vert, shrouded, 3w Molex SPOX Series, Series Number 5267, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination, 3A","","5.9","Molex","22-03-5035","","","","    687-8048",""
"13","2","J11, J13","MagneticEncoder","MiAM:MagneticEncoder","MiAM:52746-0671","http://www.molex.com/pdm_docs/sd/022035035_sd.pdf","","","Connector to Magnetic encoder","","","","","","","","702-5431",""
"14","1","J12","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","","","","","","","","","","","",""
"15","4","J14, J20, J21, J24","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"16","3","J16, J17, J18","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"17","1","P1","R-78Bxx-2.0","MiAM:R-78Bxx-2.0","MiAM:CONV_R-78Bxx-2.0","","","","","RS  139-2959","","","","","","139-2959","",""
"18","1","P2","Amazon 10A stepdown","MiAM:Amazon 10A stepdown","MiAM:StepDown10A","https://www.amazon.fr/dalimentation-Convertisseur-Abaisseur-6-5V-60V-1-25-30V/dp/B07TLHM71W/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=TAPY62YN7AE7&keywords=regulateur+tension+ajustable+10A&qid=1662732280&sprefix=regulateur+tension+ajustable+10a%2Caps%2C58&sr=8-5","","","","","","","","","","","",""
"19","6","Q1, Q2, Q3, Q4, Q5, Q6","2SK4017_Q_","MiAM:2SK4017_Q_","TO230P250X650X900-3P","","","","","","","","","","","","","    185-580"
"20","3","R1, R4, R6","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","","","",""
"21","2","R2, R3","R","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"22","2","R5, R7","5k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"23","1","R8","120","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"24","1","R9","200k","Device:R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","~","","","","","","","","","","","",""
"25","1","U1","MCP2515-xSO","Interface_CAN_LIN:MCP2515-xSO","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf","","","","","","","","","","","",""
"26","1","U2","TJA1049T","Interface_CAN_LIN:TJA1049T","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.nxp.com/documents/data_sheet/TJA1049.pdf","","","","","","","","","","    219-4670","",""
"27","1","U3","PCA9306D","Interface:PCA9306D","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://www.nxp.com/docs/en/data-sheet/PCA9306.pdf","","","","","","","","","","    662-7415","",""
"28","2","U4, U6","Pololu_MAX14870","MiAM:Pololu_MAX14870","MiAM:PololuMAX14870","","","","","","","","","","","","",""
"29","1","U5","PCA9685PW","Driver_LED:PCA9685PW","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","http://www.nxp.com/documents/data_sheet/PCA9685.pdf","","","","","","","","","","727-5649","",""
